,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,original_title
37,Police Academy,1984,R,23 Mar 1984,96 min,Comedy,Hugh Wilson,"Neal Israel, Pat Proft, Hugh Wilson","Steve Guttenberg, G.W. Bailey, Kim Cattrall","The mayor declares that anyone can enroll in the police academy irrespective of their physical condition or education level, and many misfits descend on the academy, including a young troublemaker who's forced to apply or go to jail.",English,United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZmY2Zjk3ZmYtZGQwYS00NGM4LTk1MWMtZjI4MmRkNmM2ZDYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41.0,6.7,"145,776",tt0087928,movie,,"$81,198,894",,,True,,Police Academy
38,Christine,1983,R,09 Dec 1983,110 min,"Horror, Thriller",John Carpenter,"Stephen King, Bill Phillips","Keith Gordon, John Stockwell, Alexandra Paul",A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,"English, Spanish, French",United States,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BYTQxZjlhNzUtMGJkMS00ODMwLWI0NzMtZGZiYzRmODE5ODI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57.0,6.8,"99,007",tt0085333,movie,,"$21,017,849",,,True,,Christine
39,Knight Rider,1982–1986,TV-PG,26 Sep 1982,59S min,"Action, Crime, Drama",,Glen A. Larson,"David Hasselhoff, Edward Mulhare, Richard Basehart","Follows the adventures of lone crime-fighter, Michael Knight, who battles the forces of evil with the help of his virtually indestructible and artificially intelligent supercar called KITT.",English,United States,Nominated for 1 Primetime Emmy. 5 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZjlmZmMwN2MtOWU5OC00ZTE3LThiNjctNTFmYmQyNzM2NzY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",,6.9,"39,511",tt0083437,series,,,,,True,4.0,Knight Rider
40,Thomas & Friends,1984–2021,TV-Y,29 Jan 1989,11 min,"Animation, Short, Adventure",,"Britt Allcroft, Philip D. Fehrle, Ross Hastings","Michael Angelis, Keith Wickham, Michael Brandon",This series follows the adventures of Thomas the Tank Engine and all of his engine friends on the Island of Sodor.,"Spanish, French, Chinese, Japanese, English","United Kingdom, Canada, United States, Denmark",Nominated for 2 BAFTA 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYWI2OGQzNzYtMDRjZi00ZTM1LWFjMmMtMzVlNzY4NWI2NTg2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"7,355",tt0086815,series,,,,,True,25.0,Thomas & Friends
41,Saved by the Bell,1989–1992,TV-PG,20 Aug 1989,1 min,"Comedy, Family, Romance",,Sam Bobrick,"Mark-Paul Gosselaar, Mario Lopez, Dustin Diamond","A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California.",English,United States,33 wins & 77 nominations total,https://m.media-amazon.com/images/M/MV5BNzEzMzM2ODc1Ml5BMl5BanBnXkFtZTcwMTg2MjAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"39,164",tt0096694,series,,,,,True,4.0,Saved by the Bell
42,Awakenings,1990,PG-13,11 Jan 1991,121 min,"Biography, Drama",Penny Marshall,"Oliver Sacks, Steven Zaillian","Robert De Niro, Robin Williams, Julie Kavner",Dr. Sayer is a pioneering neurologist who wants to take a risk and give his patients who suffer from encephalitis a drug used for Parkinson's Disease. He tries it out on one man who miraculously wakes from his perpetual catatonic ...,English,United States,Nominated for 3 Oscars. 6 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZDUzOGQ4YTctNTY1OS00M2UzLWFjNzYtMGNlN2E5NDA2MGVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74.0,7.8,"171,002",tt0099077,movie,,"$52,096,475",,,True,,Awakenings
43,Wheel of Fortune,1983–,TV-G,19 Sep 1983,30S min,"Family, Game-Show",,Merv Griffin,"Vanna White, Pat Sajak, Charlie O'Donnell","Contestants guess letters to solve word puzzles and earn prizes like cash, cars and vacations through spinning a wheel. The top scorer advances to a bonus round for potential bigger rewards.",English,United States,Won 1 Primetime Emmy. 10 wins & 92 nominations total,https://m.media-amazon.com/images/M/MV5BZDkxZTkwZjItNTZiNi00MTQ3LThjYTMtZjI2NDQ5YWM3NjUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,"3,914",tt0072584,series,,,,,True,42.0,Wheel of Fortune
44,National Lampoon's Christmas Vacation,1989,PG-13,01 Dec 1989,97 min,Comedy,Jeremiah S. Chechik,John Hughes,"Chevy Chase, Beverly D'Angelo, Juliette Lewis",The Griswold family's plans for a big family Christmas predictably turn into a big disaster.,English,United States,,https://m.media-amazon.com/images/M/MV5BZDgxYzI2YWItNmUyNS00ZWE4LWEzZDctYTk1M2VkYjhkOWVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49.0,7.5,"236,514",tt0097958,movie,,"$74,515,899",,,True,,National Lampoon's Christmas Vacation
45,Lean on Me,1989,PG-13,03 Mar 1989,108 min,"Biography, Drama",John G. Avildsen,Michael Schiffer,"Morgan Freeman, Beverly Todd, Robert Guillaume",The dedicated but tyrannical Joe Clark is appointed the principal of a decaying inner-city school he is determined to improve by any and all means.,"English, Spanish, Portuguese",United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BN2RmMzFkNDgtMjkxOC00NmRlLTlmNTgtYzkwYjdiYzZiZmU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58.0,7.4,"23,396",tt0097722,movie,,"$31,906,454",,,True,,Lean on Me
46,Eddie Murphy: Raw,1987,R,18 Dec 1987,93 min,"Documentary, Comedy",Robert Townsend,"Eddie Murphy, Keenen Ivory Wayans","Eddie Murphy, Tatyana Ali, Billie Allen",Eddie Murphy in a stand-up performance recorded live. For an hour and a half he talks about his favourite subjects: sex and women.,English,United States,,https://m.media-amazon.com/images/M/MV5BNTAxM2E4MGUtMGMyYS00ZGEyLThjMmQtNjQ1MmQ5ZTEyMzgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54.0,7.6,"21,341",tt0092948,movie,,"$50,504,655",,,True,,Eddie Murphy: Raw
47,She's Gotta Have It,1986,R,08 Aug 1986,84 min,"Comedy, Romance",Spike Lee,"Spike Lee, Zora Neale Hurston","Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell",Story of a woman and her three lovers.,English,United States,4 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMWVkYzgxNzgtNjY4NS00ZGFhLTlhMmYtNjM0Yzg5YmIyYmZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79.0,6.8,"17,110",tt0091939,movie,,"$7,137,502",,,True,,She's Gotta Have It
48,Major Dad,1989–1993,TV-PG,17 Sep 1989,30 min,"Comedy, Family",,"Richard C. Okie, Earl Pomerantz, John G. Stephens","Gerald McRaney, Shanna Reed, Nicole Dubuc","A hard-nosed, conservative Marine impulsively proposes to the liberal reporter doing a story on him and agrees to help her raise her three daughters.",English,United States,Nominated for 1 Primetime Emmy. 2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNjM5OWVkNWQtMjYzNy00NWE0LWEyOTUtZTRhMjkwMDk2OWI5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"3,224",tt0096643,series,,,,,True,4.0,Major Dad
49,Endless Love,2014,PG-13,14 Feb 2014,104 min,"Drama, Mystery, Romance",Shana Feste,"Shana Feste, Joshua Safran, Scott Spencer","Gabriella Wilde, Alex Pettyfer, Bruce Greenwood",The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,English,United States,1 win total,https://m.media-amazon.com/images/M/MV5BOTYzNDU1MzEyN15BMl5BanBnXkFtZTgwOTYwMTU0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30.0,6.2,"48,655",tt2318092,movie,,"$23,438,250",,,True,,Endless Love
50,Danger Mouse,1981–1992,TV-Y,04 Jun 1984,,"Animation, Action, Adventure",,"Brian Cosgrove, Mark Hall","David Jason, Terry Scott, Edward Kelsey","Danger Mouse, the greatest secret agent in the world, must follow Colonel K's orders (and try not to break Professor Squawkencluck's inventions) to foil Baron Greenback's and his henchman Stiletto's plans.",English,"United Kingdom, Taiwan",Nominated for 7 BAFTA 8 nominations total,https://m.media-amazon.com/images/M/MV5BZDA3NjMxZWEtZjk1NS00MjdlLTg0YzctNDMyODk4ZDM2YTljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",,7.4,"4,102",tt0081848,series,,,,,True,10.0,Danger Mouse
51,Vaashi,2022,,17 Jun 2022,155 min,"Drama, Thriller",Vishnu Raghav,"Vishnu Raghav, Janiz Chacko Simon","Tovino Thomas, Keerthy Suresh, Anu Mohan",A courtroom drama in which two talented self made lawyers are determined to win a case where they are on opposing sides.,Malayalam,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYTU0YTc3NDctY2JjOC00MWFkLThlMTEtN2E1MDk1YWM4NzRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,"2,273",tt13913068,movie,,,,,True,,Vaashi
52,Mobile Suit Gundam: Char's Counterattack,1988,Not Rated,12 Mar 1988,124 min,"Animation, Action, Drama",Yoshiyuki Tomino,Yoshiyuki Tomino,"Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki",Amuro Ray and Char Aznable settle their rivalry once and for all during the Second Neo Zeon War.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BYjkzMzQ1ODAtN2I5ZC00NGFkLWIzOWMtMjdkNjAwNTUyOTRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,"2,448",tt0095262,movie,,,,,True,,Mobile Suit Gundam: Char's Counterattack
53,Mobile Suit Gundam II: Soldiers of Sorrow,1981,,11 Jul 1981,139 min,"Animation, Action, Drama","Osamu Sekita, Yoshikazu Yasuhiko, Yoshiyuki Tomino","Yoshiyuki Tomino, Ken'ichi Matsuzaki, Hiroyuki Hoshiyama","Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki","After attacks by Char and Garma, White Base crew battle Zeon forces through Asia, Europe, Atlantic on way to Federation HQ. Crewmembers like Amuro, Bright, Kai, Sayla, Mirai, Fraw, Hayato overcome fears, losses to survive.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BM2Y2MjViYzQtY2M0Yy00ZmEyLThlM2MtZWYwNjU2OTg1ZjVkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"1,908",tt0159510,movie,,,,,True,,Mobile Suit Gundam II: Soldiers of Sorrow
54,Fireman Sam,1987–2024,TV-Y,06 May 1989,10 min,"Animation, Family",,"Dave Jones, Rob Lee, Dave Gingell","Steven Kynman, Tegwen Tucker, David Carling","The adventures of a community fireman, Sam.","English, Welsh","United Kingdom, United States",Nominated for 1 BAFTA Award1 nomination total,https://m.media-amazon.com/images/M/MV5BYjExMzkwYmUtOTg0ZS00MWMzLWIwYzUtYzgyMzU4ZmYxM2U5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",,6.1,"2,302",tt0329829,series,,,,,True,16.0,Fireman Sam
55,Sam Kinison: Breaking the Rules,1987,R,21 Apr 1987,50 min,"Documentary, Comedy",Walter C. Miller,Sam Kinison,"Sam Kinison, Florence Marie Marney, Denise Gallup","Fans old and new have cause for celebration with the release of Sam Kinison: Breaking All The Rules, HBO Special. Along with being voted onto Comedy Central's All-Time Top 20 Stand-Up Comedians list and VH-1's Top Comedians list, ...",English,United States,,https://m.media-amazon.com/images/M/MV5BMTgxNjMwNzUzM15BMl5BanBnXkFtZTcwMDg0NDMyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",,7.2,730,tt0307403,movie,,,,,True,,Sam Kinison: Breaking the Rules
56,Waiting for the Hearse,1985,,06 May 1985,94 min,Comedy,Alejandro Doria,"Alejandro Doria, Jacobo Langsner","Luis Brandoni, China Zorrilla, Antonio Gasalla",Each member of this family tries to endorse someone else to care for the old Mother.,Spanish,Argentina,,https://m.media-amazon.com/images/M/MV5BMmY5ZmNkZTYtOGY4OC00ZGI5LWE0ZjctNzQ2ZGJjMDZmYzk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"7,548",tt0089108,movie,,,,,True,,Waiting for the Hearse
57,Tim Allen: Men Are Pigs,1990,Not Rated,07 Sep 1990,30 min,"Documentary, Comedy",Ellen Brown,Tim Allen,"Tim Allen, Ken Calvert, John Schmidt","Tim Allen's first Showtime stand-up comedy special filmed in Kalamazoo, Michigan.",English,United States,,https://m.media-amazon.com/images/M/MV5BYmU0ZDZjZjUtMTAxYS00ZTE5LTgwZTctNmQzOGIzMzBhNGE3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,397,tt0259057,movie,,,,,True,,Tim Allen: Men Are Pigs
58,Mobile Suit Gundam III: Encounters in Space,1982,,13 Mar 1982,144 min,"Animation, Action, Drama","Osamu Sekita, Yoshikazu Yasuhiko, Yoshiyuki Tomino","Yoshiyuki Tomino, Ken'ichi Matsuzaki, Hiroyuki Hoshiyama","Tôru Furuya, Shûichi Ikeda, Hirotaka Suzuoki","Amuro Ray's White Base crew, now the 13th Autonomous Corps, rejoin the Earth Federation forces in space for the climactic battle against the Duchy of Zeon's military.",Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BN2U4NDc1OGEtMTU4NC00YTMyLTk2OGMtYTYwM2FjNjgyY2JhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,7.5,"1,839",tt0159511,movie,,,,,True,,Mobile Suit Gundam III: Encounters in Space
59,Monty Python Live at the Hollywood Bowl,1982,R,25 Jun 1982,81 min,"Documentary, Comedy, Musical","Terry Hughes, Ian MacNaughton","Graham Chapman, John Cleese, Terry Gilliam","John Cleese, Michael Palin, Eric Idle",The Monty Python troupe perform a combination of classic sketches and new material at the Hollywood Bowl.,English,"United Kingdom, United States",,https://m.media-amazon.com/images/M/MV5BZDJjMGZlYjktNjhhMC00Mjg5LTg1MzEtMjUyYjc3NmY3MjZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",,7.8,"16,134",tt0084352,movie,,"$327,958",,,True,,Monty Python Live at the Hollywood Bowl
60,Disco Dancer,1982,PG-13,10 Dec 1982,135 min,"Action, Drama, Musical",Babbar Subhash,"Rahi Masoom Reza, Deepak Balraj Vij","Mithun Chakraborty, Kim, Kalpana Iyer","After years of honest work a talented amateur singer becomes a famous professional, but an old enemy of his family is envious of his success.","Hindi, English",India,,https://m.media-amazon.com/images/M/MV5BOTgxYWFhZjgtZGYwOS00MDMxLTg2YzItMTA0Mjc1MTZlZmRhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"1,734",tt0208903,movie,,,,,True,,Disco Dancer
61,Agneepath,2012,Not Rated,26 Jan 2012,174 min,"Action, Crime, Drama",Karan Malhotra,"Ila Bedi Dutta, Avinash Ghodke, Karan Malhotra","Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt",A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,"Hindi, Marathi, English",India,30 wins & 48 nominations total,https://m.media-amazon.com/images/M/MV5BNTRjN2VlMWEtZWZkMS00Nzc1LThlZjctZTE3ZDg1YjkyZjlkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",,6.9,"27,561",tt1849718,movie,,"$1,986,748",,,True,,Agneepath
62,Parrot Sketch Not Included: Twenty Years of Monty Python,1989,Not Rated,18 Nov 1989,72 min,Comedy,Ian MacNaughton,"Graham Chapman, John Cleese, Terry Gilliam","Steve Martin, Graham Chapman, John Cleese",Sketches from Monty Python's Flying Circus (1969).,English,United Kingdom,,https://m.media-amazon.com/images/M/MV5BMTkzNDA5MTA5MV5BMl5BanBnXkFtZTgwMzMzOTk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",,8.0,"1,605",tt0213984,movie,,,,,True,,Parrot Sketch Not Included: Twenty Years of Monty Python
63,Too Young the Hero,1988,Not Rated,27 Mar 1988,100 min,"Biography, Drama, War",Buzz Kulik,"Calvin Graham, Gary Thomas, David J. Kinghorn","Ricky Schroder, Jon DeVries, Debra Mooney","The true story of Calvin Graham who at the age of twelve, but looking quite a lot older, succeeded in joining the navy during World War II. In spite of his young age, he received a Purple Heart for his bravery in the Naval Battle ...",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BNDY4ZjEyOWItY2IzOC00NTI4LTk0MTEtNDNkYzYzMmYxMjRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",,6.7,593,tt0096286,movie,,,,,True,,Too Young the Hero
64,A Stoning in Fulham County,1988,Not Rated,24 Oct 1988,94 min,"Crime, Drama, Thriller",Larry Elikann,"Jackson Gillis, Jud Kinberg","Ken Olin, Jill Eikenberry, Maureen Mueller",Religious beliefs clash with the law when an Amish infant is killed in a rural community.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTY3MDE0OTY5OV5BMl5BanBnXkFtZTgwMDEwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",,5.9,476,tt0096179,movie,,,,,True,,A Stoning in Fulham County
65,The Ryan White Story,1989,Not Rated,16 Jan 1989,105 min,"Biography, Drama",John Herzfeld,"Phil Penningroth, John Herzfeld","Judith Light, Lukas Haas, Michael Bowen","The story of Ryan White, a 13-year-old haemophiliac who contracted AIDS from factor VIII, which was used to control this disorder.",English,United States,,https://m.media-amazon.com/images/M/MV5BMTQ0NjI2NTgtZWYxNy00M2JjLWEyODgtY2Q2NzJmMmUyOTE4XkEyXkFqcGdeQXVyMjczOTU2NTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,"1,000",tt0098237,movie,,,,,True,,The Ryan White Story
66,Dil,1990,Not Rated,22 Jun 1990,172 min,"Comedy, Drama, Romance",Indra Kumar,"Rajeev Kaul, Naushir Khatau, Kamlesh Pandey","Aamir Khan, Madhuri Dixit, Saeed Jaffrey","A man pretends to be a rich industrialist to improve his son's chances of marrying in to wealth, but his plan backfires on him.",Hindi,India,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BNWM5YTM1MDItMmViYy00NDliLWEwYWQtYTVjOGY3ODllZjEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"5,805",tt0099429,movie,,,,,True,,Dil
67,Adam: His Song Continues,1986,Not Rated,29 Sep 1986,100 min,"Crime, Drama",Robert Markowitz,Oliver Hailey,"Daniel J. Travanti, JoBeth Williams, Richard Masur","Follows the true story of John and Reve Walsh who, after their child was murdered, fought to raise national awareness of the problem of missing children.",English,United States,,https://m.media-amazon.com/images/M/MV5BMjIwMDc1NTM3OV5BMl5BanBnXkFtZTgwNzAwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,247,tt0090589,movie,,,CBS,,True,,Adam: His Song Continues
68,The George McKenna Story,1986,Not Rated,11 Nov 1986,100 min,"Biography, Drama",Eric Laneuville,Charles Eric Johnson,"Denzel Washington, Lynn Whitfield, Akosua Busia",He risked it all to make the grade.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTY3OTgyMDM0OV5BMl5BanBnXkFtZTcwNjc1MjkxMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",,6.0,"1,109",tt0091106,movie,,,,,True,,The George McKenna Story
69,In Defense of a Married Man,1990,Not Rated,14 Oct 1990,95 min,"Crime, Drama",Joel Oliansky,"Sasha Ferrer, Norman Morrill","Judith Light, Michael Ontkean, Jerry Orbach","A lawyer's husband is having an affair. When the woman he is having the affair with is found dead. He is the prime suspect. Though he adamantly proclaims his innocence. His wife takes charge of his defense, but can she place his b...",English,United States,,https://m.media-amazon.com/images/M/MV5BMTUwNjA5Njk0Nl5BMl5BanBnXkFtZTgwMTIwODY0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,238,tt0099396,movie,,,,,True,,In Defense of a Married Man
